願意幫忙真的太好了,greeting
我很感激,greeting
退租後房東說押金要扣清潔費,legal
電費一度多少算合理？,legal
沒簽租約也要繳押金嗎？,legal
租屋沒有收據怎麼辦？,legal
房東不給修東西怎麼辦？,legal
房東能不能沒通知就進房？,legal
能用line簽租約嗎？,legal
合約沒寫租期可以搬走嗎？,legal
租屋要報戶口會有問題嗎？,legal
房東說不准報戶口是否合法？,legal
台南租屋，電梯大樓，月租9000,rental_post
找房：可報戶口，限女生，雙北優先,rental_post
三重兩房一廳出租，租金18000含管理費,rental_post
找房：新竹市區，月租12000以下,rental_post
出租：近中原大學，套房可養貓，租金9500,rental_post
中壢套房出租，近車站，含家具,rental_post
租屋：可短租三個月，有洗衣機,rental_post
找租屋：無限網路、包水電、近捷運,rental_post
高雄左營整層住家出租，租金14000,rental_post
想找一樓套房，可停機車，租金9000以內,rental_post
租屋：台北市，可開伙、有對外窗,rental_post
1048576,other
亂打字測試,other
這是什麼意思？,other
嘿嘿嘿嘿,other
無意義內容,other
44444,other
qqqqqqqqq,other
喵喵喵,other
我想問但是不知道怎麼說,other
%%%測試資料%%%,other
"📍新竹市北區經國路二段｜舒適採光大套房，獨立洗衣機、可養貓🐱，台電計費，垃圾集中處理，租金：NT$11,000，含水、網路，樓層：1樓/5樓，坪數：約10坪。",rental_post
"📍竹北市光明六路東一段｜全新裝潢電梯大樓兩房一廳，附家具家電，月租NT$25,000，近高鐵站，生活機能佳，歡迎小家庭入住。",rental_post
"📍新竹市東區金山街｜獨立套房，附冷氣、洗衣機、冰箱，租金NT$9,500，含網路，近清華大學，適合學生。",rental_post
"📍新竹市香山區牛埔路｜整層三房兩廳，附廚房、陽台，租金NT$18,000，近香山火車站，交通便利，適合家庭。",rental_post
"📍新竹市北區湳雅街｜雅房出租，含水電與網路，月租NT$6,000，限女性，近巨城購物中心，生活機能佳。",rental_post
"📍新竹市東區關新路｜電梯大樓一房一廳，附家具家電，租金NT$13,000，近園區，適合上班族。",rental_post
"📍新竹市北區中華路三段｜獨立套房，附陽台、廚房，租金NT$10,500，含水、網路，近新竹火車站，交通便利。",rental_post
"📍新竹市香山區牛埔南路｜整層兩房一廳，附家具、冷氣，租金NT$16,000，近香山工業區，適合小家庭。",rental_post
"📍新竹市東區建功一路｜雅房出租，含水電與網路，月租NT$5,500，近清大南大門，限學生。",rental_post
"📍新竹市北區民富街｜電梯大樓兩房一廳，附家具家電，租金NT$22,000，近新竹市政府，生活機能佳。",rental_post
"📍新竹市北區經國路二段｜舒適採光大套房，獨立洗衣機、可養貓🐱，台電計費，垃圾集中處理，租金：NT$11,000，含水、網路，樓層：1樓/5樓，坪數：約10坪。",rental_post
"📍竹北市光明六路東一段｜全新裝潢電梯大樓兩房一廳，附家具家電，月租NT$25,000，近高鐵站，生活機能佳，歡迎小家庭入住。",rental_post
"📍新竹市東區金山街｜獨立套房，附冷氣、洗衣機、冰箱，租金NT$9,500，含網路，近清華大學，適合學生。",rental_post
"📍新竹市香山區牛埔路｜整層三房兩廳，附廚房、陽台，租金NT$18,000，近香山火車站，交通便利，適合家庭。",rental_post
"📍新竹市北區湳雅街｜雅房出租，含水電與網路，月租NT$6,000，限女性，近巨城購物中心，生活機能佳。",rental_post
"📍新竹市東區關新路｜電梯大樓一房一廳，附家具家電，租金NT$13,000，近園區，適合上班族。",rental_post
"📍新竹市北區中華路三段｜獨立套房，附陽台、廚房，租金NT$10,500，含水、網路，近新竹火車站，交通便利。",rental_post
"📍新竹市香山區牛埔南路｜整層兩房一廳，附家具、冷氣，租金NT$16,000，近香山工業區，適合小家庭。",rental_post
"📍新竹市東區建功一路｜雅房出租，含水電與網路，月租NT$5,500，近清大南大門，限學生。",rental_post
"📍新竹市北區民富街｜電梯大樓兩房一廳，附家具家電，租金NT$22,000，近新竹市政府，生活機能佳。",rental_post
"📍新竹市東區南大路｜近交大南門，獨立套房出租，附家具、冷氣，租金NT$9,800，含水電，適合學生。",rental_post
"📍新竹市北區光華街｜整層三房兩廳，附廚房、陽台，租金NT$20,000，近北門市場，生活機能佳。",rental_post
"📍新竹市香山區中華路五段｜電梯大樓一房一廳，附家具家電，租金NT$12,000，近香山火車站，交通便利。",rental_post
"📍新竹市東區建功一路｜雅房出租，含水電與網路，月租NT$6,000，近清大南大門，限女性。",rental_post
"📍新竹市北區民富街｜電梯大樓兩房一廳，附家具家電，租金NT$23,000，近新竹市政府，生活機能佳。",rental_post
"📍新竹市東區南大路｜近交大南門，獨立套房出租，附家具、冷氣，租金NT$10,000，含水電，適合學生。",rental_post
"📍新竹市北區光華街｜整層三房兩廳，附廚房、陽台，租金NT$21,000，近北門市場，生活機能佳。",rental_post
"📍新竹市香山區中華路五段｜電梯大樓一房一廳，附家具家電，租金NT$13,000，近香山火車站，交通便利。",rental_post
"📍新竹市東區建功一路｜雅房出租，含水電與網路，月租NT$6,500，近清大南大門，限女性。",rental_post
"📍新竹市北區民富街｜電梯大樓兩房一廳，附家具家電，租金NT$24,000，近新竹市政府，生活機能佳。",rental_post
房東突然漲房租怎麼辦？,legal
押金最多幾個月？,legal
水電費怎麼計算？,legal
房東不退押金怎麼辦？,legal
租約提前終止會有違約金嗎？,legal
我可以合法轉租嗎？,legal
房東可以臨時漲房租嗎？,legal
押金通常是幾個月？,legal
水費是怎麼計算的？,legal
合約上沒有寫電費怎麼辦？,legal
可以要求修水管嗎？,legal
租約到期不搬會怎樣？,legal
租屋有哪些法律保障？,legal
台北捷運站附近，限女生，8500元含陽台,rental_post
找房子：可養貓，桃園，租金預算10000,rental_post
台北租屋，近捷運，月租8000,rental_post
女生限定，套房出租,rental_post
桃園找房，可養寵物,rental_post
新北三重，整層出租，租金15000,rental_post
找租屋：有陽台，電梯大樓,rental_post
出租房間：含水電,rental_post
1213131,other
58589,other
